sample_index,timestamp_rel_s,timestamp_utc_iso,participant_id,session_id,task_id,trial_id,condition,combined_valid,combined_origin_x,combined_origin_y,combined_origin_z,combined_dir_x,combined_dir_y,combined_dir_z,vergence_angle_deg,interocular_distance,left_valid,left_origin_x,left_origin_y,left_origin_z,left_dir_x,left_dir_y,left_dir_z,right_valid,right_origin_x,right_origin_y,right_origin_z,right_dir_x,right_dir_y,right_dir_z,left_pupil_diameter,right_pupil_diameter,left_pupil_pos_x,left_pupil_pos_y,right_pupil_pos_x,right_pupil_pos_y,left_eye_openness,right_eye_openness,head_x,head_y,head_z,head_qx,head_qy,head_qz,head_qw,hit_valid,hit_object_name,hit_aoi,hit_aoi_type,hit_x,hit_y,hit_z
43,7.18773830000009,"2026-04-01T01:48:56.7106655Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.0254828,1.134837,-0.6831991,0.226826,0.004632103,0.02097683,0.9736984,0,,,,,,
44,7.19835479999983,"2026-04-01T01:48:56.7224921Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02533982,1.134863,-0.6830665,0.226799,0.004584575,0.02095255,0.9737054,0,,,,,,
45,7.21070099999997,"2026-04-01T01:48:56.7327401Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02522477,1.134887,-0.682978,0.2266909,0.004596955,0.02083536,0.973733,0,,,,,,
46,7.22037730000011,"2026-04-01T01:48:56.7449509Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02504469,1.134992,-0.6828287,0.2264272,0.004633713,0.0206686,0.9737977,0,,,,,,
47,7.23263119999956,"2026-04-01T01:48:56.7556068Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02491516,1.135034,-0.68275,0.2263659,0.004606515,0.02055806,0.9738145,0,,,,,,
48,7.24300969999967,"2026-04-01T01:48:56.7682829Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02471559,1.135072,-0.6826472,0.2261081,0.004637438,0.02036026,0.9738784,0,,,,,,
49,7.25600159999976,"2026-04-01T01:48:56.7769116Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02460013,1.135133,-0.6825955,0.2260509,0.004644725,0.02026591,0.9738936,0,,,,,,
50,7.26543399999991,"2026-04-01T01:48:56.7881782Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02443873,1.135193,-0.6825333,0.2258717,0.004653839,0.0201486,0.9739376,0,,,,,,
51,7.27588949999972,"2026-04-01T01:48:56.7983996Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02426986,1.135222,-0.6824699,0.2257322,0.004686252,0.02009496,0.9739708,0,,,,,,
52,7.28703459999997,"2026-04-01T01:48:56.8106662Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02410479,1.13524,-0.6824236,0.2255844,0.004676961,0.02004996,0.9740061,0,,,,,,
